ds,usd
2018-02-16,56.5918
2018-02-17,56.3554
2018-02-18,56.351533333333336
2018-02-19,56.34766666666667
2018-02-20,56.3438
2018-02-21,56.5201
2018-02-22,56.6537
2018-02-23,56.7608
2018-02-24,56.5508
2018-02-25,56.3408
2018-02-26,56.1308
2018-02-27,55.9208
2018-02-28,55.6717
2018-03-01,56.3742
2018-03-02,56.4334
2018-03-03,56.6616
2018-03-04,56.80773333333333
2018-03-05,56.95386666666667
2018-03-06,57.1
2018-03-07,56.5041
2018-03-08,56.8011
2018-03-09,56.88805
2018-03-10,56.975
2018-03-11,56.85406666666667
2018-03-12,56.733133333333335
2018-03-13,56.6122
2018-03-14,56.9359
2018-03-15,56.9372
2018-03-16,57.0188
2018-03-17,57.4942
2018-03-18,57.5135
2018-03-19,57.5328
2018-03-20,57.5521
2018-03-21,57.7033
2018-03-22,57.4954
2018-03-23,56.8391
2018-03-24,57.1072
2018-03-25,57.072766666666666
2018-03-26,57.038333333333334
2018-03-27,57.0039
2018-03-28,57.1747
2018-03-29,57.5598
2018-03-30,57.7626
2018-03-31,57.2649
2018-04-01,57.2716
2018-04-02,57.278299999999994
2018-04-03,57.285
2018-04-04,57.5375
2018-04-05,57.7646
2018-04-06,57.5796
2018-04-07,57.8332
2018-04-08,58.07926666666666
2018-04-09,58.32533333333333
2018-04-10,58.5714
2018-04-11,62.3699
2018-04-12,64.0626
2018-04-13,62.0659
2018-04-14,61.4311
2018-04-15,61.71386666666667
2018-04-16,61.996633333333335
2018-04-17,62.2794
2018-04-18,61.1454
2018-04-19,61.5539
2018-04-20,60.8583
2018-04-21,61.3222
2018-04-22,61.46996666666667
2018-04-23,61.617733333333334
2018-04-24,61.7655
2018-04-25,61.6644
2018-04-26,61.7494
2018-04-27,62.6027
2018-04-28,62.726000000000006
2018-04-29,61.9997
2018-04-30,62.3161
2018-05-01,62.6325
2018-05-02,63.04
2018-05-03,63.4475
2018-05-04,63.486000000000004
2018-05-05,63.2012
2018-05-06,63.03906666666666
2018-05-07,62.876933333333334
2018-05-08,62.7148
2018-05-09,63.0066
2018-05-10,62.76475
2018-05-11,62.5229
2018-05-12,61.7354
2018-05-13,61.7464
2018-05-14,61.7574
2018-05-15,61.7684
2018-05-16,61.9164
2018-05-17,62.3033
2018-05-18,61.8215
2018-05-19,61.9408
2018-05-20,62.1381
2018-05-21,62.3354
2018-05-22,62.5327
2018-05-23,61.261
2018-05-24,61.5945
2018-05-25,61.409
2018-05-26,61.6659
2018-05-27,61.8676
2018-05-28,62.0693
2018-05-29,62.271
2018-05-30,62.641999999999996
2018-05-31,62.5937
2018-06-01,62.0188
2018-06-02,62.2056
2018-06-03,62.1134
2018-06-04,62.02119999999999
2018-06-05,61.928999999999995
2018-06-06,61.9822
2018-06-07,62.0064
2018-06-08,61.8125
2018-06-09,62.668
2018-06-10,62.3431
2018-06-11,62.536425
2018-06-12,62.729749999999996
2018-06-13,62.923075
2018-06-14,63.1164
2018-06-15,62.2511
2018-06-16,62.6851
2018-06-17,62.95133333333333
2018-06-18,63.21756666666667
2018-06-19,63.4838
2018-06-20,64.0683
2018-06-21,63.6175
2018-06-22,63.7873
2018-06-23,63.2396
2018-06-24,63.142966666666666
2018-06-25,63.04633333333334
2018-06-26,62.9497
2018-06-27,62.7908
2018-06-28,63.1359
2018-06-29,63.291000000000004
2018-06-30,62.7565
2018-07-01,62.88413333333334
2018-07-02,63.01176666666667
2018-07-03,63.1394
2018-07-04,63.2194
2018-07-05,63.2267
2018-07-06,63.2604
2018-07-07,63.1216
2018-07-08,63.025666666666666
2018-07-09,62.92973333333333
2018-07-10,62.8338
2018-07-11,62.4442
2018-07-12,62.098
2018-07-13,62.2062
2018-07-14,62.2934
2018-07-15,62.2808
2018-07-16,62.2682
2018-07-17,62.2556
2018-07-18,62.4352
2018-07-19,62.9006
2018-07-20,63.2746
2018-07-21,63.4888
2018-07-22,63.3911
2018-07-23,63.2934
2018-07-24,63.1957
2018-07-25,62.9235
2018-07-26,63.0836
2018-07-27,62.9471
2018-07-28,62.9726
2018-07-29,62.908566666666665
2018-07-30,62.84453333333334
2018-07-31,62.7805
2018-08-01,62.3497
2018-08-02,62.559
2018-08-03,63.1358
2018-08-04,63.4549
2018-08-05,63.469100000000005
2018-08-06,63.4833
2018-08-07,63.4975
2018-08-08,63.5425
2018-08-09,63.595
2018-08-10,66.2856
2018-08-11,66.9075
2018-08-12,67.34613333333333
2018-08-13,67.78476666666667
2018-08-14,68.2234
2018-08-15,66.7535
2018-08-16,66.3772
2018-08-17,66.8932
2018-08-18,66.8757
2018-08-19,66.97736666666667
2018-08-20,67.07903333333333
2018-08-21,67.1807
2018-08-22,67.1783
2018-08-23,67.6163
2018-08-24,68.5259
2018-08-25,67.7911
2018-08-26,67.6595
2018-08-27,67.5279
2018-08-28,67.3963
2018-08-29,67.3911
2018-08-30,68.1451
2018-08-31,68.0821
2018-09-01,68.0447
2018-09-02,67.94456666666667
2018-09-03,67.84443333333333
2018-09-04,67.7443
2018-09-05,68.2737
2018-09-06,68.4628
2018-09-07,68.2505
2018-09-08,69.0286
2018-09-09,69.30856666666666
2018-09-10,69.58853333333333
2018-09-11,69.8685
2018-09-12,69.9744
2018-09-13,69.5728
2018-09-14,68.637
2018-09-15,68.2826
2018-09-16,68.25366666666667
2018-09-17,68.22473333333333
2018-09-18,68.1958
2018-09-19,67.7519
2018-09-20,67.0098
2018-09-21,66.4725
